grid_shape,n_zones,batch_size,k_iterations,median_episode_s,rollouts_per_sec,speedup_vs_scipy_baseline,peak_device_mb
10x10,100,1,5,0.0013745059999998865,727.5341104368279,6.17601112425151,0.19140625
10x10,100,16,5,0.0033177059999998093,4822.609357188648,40.938958889547095,3.66259765625
10x10,100,64,5,0.010183834000000225,6284.4700728624,53.34864238423091,14.64892578125
10x10,100,256,5,0.042708938999999724,5994.061336901899,50.883372978793716,58.59423828125
10x10,100,1024,5,0.1409818920000001,7263.344146353201,61.65826949366045,234.37548828125
15x15,225,1,5,0.002756621999999709,362.7628307399802,3.079480736332599,234.37548828125
15x15,225,16,5,0.01268923999999938,1260.9108189301157,10.703826985824412,234.37548828125
15x15,225,64,5,0.054521594999999756,1173.8468032712594,9.964743661046345,234.37548828125
15x15,225,256,5,0.2206513499999989,1160.2013765154904,9.848908119825895,296.63134765625
15x15,225,1024,5,0.8836188300000014,1158.8707316253076,9.837612322795481,1186.52392578125
