grid_shape,n_zones,batch_size,k_iterations,median_rollout_s,rollouts_per_sec,speedup_vs_scipy_baseline,peak_device_mb
10x10,100,1,5,0.0019862570000004354,503.4595221060421,4.2738499329884725,0.167236328125
10x10,100,16,5,0.004511574000000351,3546.4341269806846,30.105552860617017,2.52294921875
10x10,100,64,5,0.011510850000000517,5559.971678894011,47.1984013488456,9.929443359375
10x10,100,256,5,0.03621839200000032,7068.232073914207,60.00197006718342,39.66552734375
10x10,100,1024,5,0.14683919099999798,6973.615102524053,59.19876997049281,158.462890625
15x15,225,1,5,0.004395603999999054,227.50002047505083,1.9312395626065435,158.462890625
15x15,225,16,5,0.01788786900000261,894.4609332725807,7.593046971753656,158.462890625
15x15,225,64,5,0.05652761799999695,1132.1899323619732,9.61111996911692,158.462890625
15x15,225,256,5,0.22264457400000026,1149.81468176269,9.760735838392955,199.124755859375
15x15,225,1024,5,0.8933116180000056,1146.296521131771,9.730870298232352,795.911865234375
